name,link,purpose
AMPLab,amplab.cs.berkeley.edu,"Working at the intersection of three massive trends - powerful machine learning, cloud computing, and crowdsourcing - the AMPLab is integrating algorithms, machines, and people to make sense of Big Data. They are creating a new generation of analytics tools to answer deep questions over dirty and heterogeneous data by extending and fusing machine learning, warehouse-scale computing, and human computation. They validate these ideas on real-world problems, including participatory sensing, urban planning, and personalized medicine with their application and industrial partners."
Archaeological Research Facility (ARF),arf.berkeley.edu,"ARF encourages and carries out archaeological field and laboratory research conducted by UC Berkeley archaeologists and related specialists. As a field of research, archaeology is inherently interdisciplinary and collaborative; not only are there intimate research collaborations among natural scientists, social scientists, and/or humanities scholars, but archaeology is practiced by scholars who expectedly hold faculty and/or research positions in a variety of departments, ranging from classics to earth and planetary science."
Berkeley Atmospheric Sciences Center (BASC),www.atmos.berkeley.edu,"BCCP is focused on understanding the origin and evolution of the universe through a series of programs to define the observations, experiments, concepts, and simulations needed to answer the fundamental questions in cosmology. Combining experimentation, computation, and theory, BCCP continues to develop the foundation of an accurate, reliable model of the cosmos. They compare the implications of this evolving model against observations—thus opening new horizons and expanding our knowledge of the universe."
Berkeley Center for Cosmological Physics,bccp.berkeley.edu,"The Berkeley Center For Cosmological Physics (BCCP) is focused on understanding the origin and evolution of the universe through a series of programs to define the observations, experiments, concepts, and simulations needed to answer the fundamental questions in cosmology. Combining experimentation, computation, and theory, BCCP continues to develop the foundation of an accurate, reliable model of the cosmos. We compare the implications of this evolving model against observations — thus opening new horizons and expanding our knowledge of the universe."
Berkeley Center for New Media,bcnm.berkeley.edu,"The Berkeley Center for New Media is a focal point for research and teaching about new media, led by a highly trans-disciplinary community of 120 affiliated faculty, advisors, and scholars, from 35 UC Berkeley departments. Their mission is to critically analyze and help shape developments in new media from cross-disciplinary and global perspectives that emphasize humanities and the public interest."
Berkeley Initiative in Global Change Biology (BiGCB),globalchange.berkeley.edu,The Berkeley Initiative in Global Change Biology uses state-of-the-art tools and technologies to mobilize historic and modern biological data to understand how organisms and ecological systems have responded to past global change events. This work will improve the forecasting of biological system response to future global change.
Berkeley KamLAND Group,kamland.lbl.gov,"The Berkeley KamLAND (Kamioka Liquid-Scintillator Anti-Neutrino Detector) group consists of physicists from both the Berkeley Lab and the physics department at UC Berkeley. KamLAND  has demonstrated convincingly that neutrinos are massive and undergo flavor oscillations—a profound discovery. Many questions of fundamental significance remain open, but with a new understanding of neutrino propagation, neutrino science is now poised to provide illuminating answers to some of society's most probing questions concerning the Earth; the Sun; and fantastic astrophysical events, such as supernovae."
Berkeley Nanosciences and Nanoengineering Institute (BNNI),nano.berkeley.edu,"BNNI is the umbrella organization for expanding and coordinating Berkeley research and educational activities in nanoscale science and engineering. BNNI aims to serve as a catalyst for greater interdisciplinary collaboration between Berkeley faculty and students in disciplines such as physics, chemistry, biology, and engineering as well as deepen and expand collaborations with industry, national labs, and government agencies."
Berkeley Natural History Museums (BNHM),bnhm.berkeley.edu,"The BNHM are world leaders in biodiversity informatics, building data pipelines for data access, quality, and visualizations for use in research and education. Come talk to us about VertNet, the Berkeley Ecoinformatics Engine,  BerkeleyMapper,  AmphibiaWeb, and much more."
Berkeley Research Computing,research-it.berkeley.edu,The BRC program supports research with a coordinated set of services for a range of computation and data-analysis needs. BRC includes consulting that ensures faculty are matched to the appropriate resources and that the computation and data resources meet their needs.
